date,region ,number_of_households,population_sum,population_male,population_female,population_18over_sum,population_18over_male,population_18over_female,population_65over_sum,population_65over_male,population_65over_female,  통  ,  반  ,area,composition_ratio
2023-06, 대연4동 ,5420,11877,5770,6107,10274,4951,5323,3070,1300,1770,20,153,1,4
2023-06, 대연5동 ,8446,16801,8065,8736,14932,7074,7858,3690,1606,2084,18,112,1,4
2023-06, 대연6동 ,5900,14917,7151,7766,12042,5710,6332,2511,1101,1410,16,108,1,4
2023-06, 용호1동 ,17095,42980,20580,22400,36287,17208,19079,8879,3883,4996,43,361,2,6
2023-06, 용호2동 ,8042,19333,9359,9974,16287,7825,8462,4200,1911,2289,23,185,2,8
2023-06, 용호3동 ,5583,11476,5549,5927,10554,5074,5480,3638,1563,2075,21,135,2,7
2023-06, 용호4동 ,3686,7854,3754,4100,7042,3332,3710,2145,909,1236,14,90,2,6
2023-06, 용 당 동 ,3484,7960,4017,3943,6988,3522,3466,1868,852,1016,14,84,4,14
2023-06, 감만1동 ,4493,9637,4921,4716,8644,4411,4233,2599,1171,1428,26,181,3,10
2023-06, 감만2동 ,3332,6596,3238,3358,6065,2961,3104,2207,914,1293,14,85,1,3
2023-06, 우암동 ,5804,12523,6138,6385,11392,5529,5863,4016,1744,2272,29,219,1,5
2023-06, 문현1동 ,4909,11243,5512,5731,9987,4833,5154,2796,1182,1614,19,129,1,3
2023-06, 문현2동 ,4911,7995,3976,4019,7458,3688,3770,2120,894,1226,15,97,1,2
2023-06, 문현3동 ,7108,16607,8065,8542,14346,6923,7423,3502,1487,2015,23,155,1,3
2023-06, 문현4동 ,4377,8982,4364,4618,8242,3978,4264,2446,1030,1416,17,126,1,3
2023-07, 대연1동 ,9430,15677,7948,7729,14732,7479,7253,3734,1595,2139,31,175,1,4
2023-07, 대연3동 ,16655,33229,16286,16943,28343,13740,14603,4540,1974,2566,33,302,4,14
2023-07, 대연4동 ,5412,11848,5751,6097,10244,4936,5308,3063,1294,1769,20,153,1,4
2023-07, 대연5동 ,8439,16770,8027,8743,14899,7038,7861,3694,1602,2092,18,112,1,4
2023-07, 대연6동 ,5898,14899,7142,7757,12026,5702,6324,2522,1104,1418,16,108,1,4
2023-07, 용호1동 ,17126,42990,20587,22403,36310,17223,19087,8910,3894,5016,43,361,2,6
2023-07, 용호2동 ,8069,19409,9398,10011,16361,7860,8501,4221,1913,2308,23,185,2,8
2023-07, 용호3동 ,5587,11478,5555,5923,10557,5082,5475,3645,1566,2079,21,135,2,7
2023-07, 용호4동 ,3680,7833,3738,4095,7026,3322,3704,2150,908,1242,14,90,2,6
2023-07, 용 당 동 ,3494,7951,4015,3936,6987,3521,3466,1871,855,1016,14,84,4,14
2023-07, 감만1동 ,4449,9543,4879,4664,8556,4370,4186,2590,1170,1420,26,181,3,10
2023-07, 감만2동 ,3327,6584,3235,3349,6052,2958,3094,2220,917,1303,14,85,1,3
2023-07, 우암동 ,5806,12489,6115,6374,11365,5510,5855,4022,1744,2278,29,219,1,5
2023-07, 문현1동 ,4893,11191,5488,5703,9945,4814,5131,2807,1188,1619,19,129,1,3
2023-07, 문현2동 ,4903,7978,3971,4007,7442,3681,3761,2117,895,1222,15,97,1,2
2023-07, 문현3동 ,7085,16534,8026,8508,14298,6891,7407,3519,1491,2028,23,155,1,3
2023-07, 문현4동 ,4388,8989,4357,4632,8249,3972,4277,2460,1034,1426,17,126,1,3
2023-08, 대연1동 ,9455,15652,7943,7709,14722,7481,7241,3739,1603,2136,31,175,1,4
2023-08, 대연3동 ,16711,33253,16295,16958,28371,13750,14621,4552,1981,2571,33,302,4,14
2023-08, 대연4동 ,5407,11854,5746,6108,10255,4939,5316,3076,1300,1776,20,153,1,4
2023-08, 대연5동 ,8461,16756,8032,8724,14907,7053,7854,3719,1608,2111,18,112,1,4
2023-08, 대연6동 ,5883,14880,7142,7738,12006,5699,6307,2518,1107,1411,16,108,1,4
2023-08, 용호1동 ,17146,43009,20587,22422,36329,17220,19109,8945,3917,5028,43,361,2,6
2023-08, 용호2동 ,8083,19479,9437,10042,16426,7895,8531,4255,1929,2326,23,185,2,8
2023-08, 용호3동 ,5592,11433,5517,5916,10525,5053,5472,3662,1569,2093,21,135,2,7
2023-08, 용호4동 ,3677,7815,3732,4083,7018,3322,3696,2156,909,1247,14,90,2,6
2023-08, 용 당 동 ,3499,7932,4007,3925,6973,3518,3455,1882,860,1022,14,84,4,14
2023-08, 감만1동 ,4371,9394,4803,4591,8424,4303,4121,2554,1153,1401,26,181,3,10
2023-08, 감만2동 ,3330,6590,3232,3358,6058,2958,3100,2239,921,1318,14,85,1,3
2023-08, 우암동 ,5796,12460,6100,6360,11346,5496,5850,4023,1744,2279,29,219,1,5
2023-08, 문현1동 ,4876,11151,5471,5680,9914,4798,5116,2805,1185,1620,19,129,1,3
2023-08, 문현2동 ,4894,7959,3958,4001,7416,3664,3752,2112,892,1220,15,97,1,2
2023-08, 문현3동 ,7074,16496,8002,8494,14281,6882,7399,3528,1493,2035,23,155,1,3
2023-08, 문현4동 ,4386,8982,4358,4624,8244,3974,4270,2469,1031,1438,17,126,1,3
2023-09, 대연1동 ,9420,15598,7915,7683,14679,7459,7220,3748,1604,2144,31,175,1,4
2023-09, 대연3동 ,16681,33184,16259,16925,28314,13720,14594,4570,1988,2582,33,302,4,14
2023-09, 대연4동 ,5411,11866,5744,6122,10260,4931,5329,3096,1304,1792,20,156,1,4
2023-09, 대연5동 ,8459,16720,8012,8708,14876,7031,7845,3727,1612,2115,18,112,1,4
2023-09, 대연6동 ,5876,14871,7134,7737,12010,5701,6309,2525,1107,1418,16,108,1,4
2023-09, 용호1동 ,17137,42947,20555,22392,36294,17196,19098,8977,3925,5052,43,361,2,6
2023-09, 용호2동 ,8110,19519,9454,10065,16463,7908,8555,4275,1935,2340,23,185,2,8
2023-09, 용호3동 ,5595,11411,5505,5906,10516,5045,5471,3669,1576,2093,21,135,2,7
2023-09, 용호4동 ,3678,7809,3723,4086,7009,3316,3693,2164,911,1253,14,90,2,6
2023-09, 용 당 동 ,3501,7925,4000,3925,6979,3516,3463,1895,865,1030,14,84,4,14
2023-09, 감만1동 ,4301,9282,4753,4529,8317,4255,4062,2524,1144,1380,26,181,3,10
2023-09, 감만2동 ,3324,6582,3233,3349,6059,2962,3097,2252,928,1324,14,85,1,3
2023-09, 우암동 ,5789,12417,6078,6339,11321,5482,5839,4032,1745,2287,29,219,1,5
2023-09, 문현1동 ,4863,11116,5461,5655,9888,4791,5097,2818,1196,1622,19,129,1,3
2023-09, 문현2동 ,4880,7926,3954,3972,7388,3663,3725,2109,892,1217,15,97,1,2
2023-09, 문현3동 ,7064,16458,7984,8474,14254,6870,7384,3532,1494,2038,23,155,1,3
2023-09, 문현4동 ,4381,8968,4341,4627,8232,3961,4271,2471,1030,1441,17,126,1,3
2023-10, 대연1동 ,9332,15466,7858,7608,14556,7410,7146,3745,1604,2141,31,175,1,4
2023-10, 대연3동 ,16631,33092,16209,16883,28231,13672,14559,4582,1992,2590,33,302,4,14
2023-10, 대연4동 ,5721,12582,6099,6483,10822,5209,5613,3173,1338,1835,20,156,1,4
2023-10, 대연5동 ,8451,16675,7983,8692,14847,7010,7837,3728,1602,2126,18,112,1,4
2023-10, 대연6동 ,5855,14804,7104,7700,11953,5673,6280,2543,1116,1427,16,108,1,4
2023-10, 용호1동 ,17126,42931,20535,22396,36298,17188,19110,9023,3941,5082,43,361,2,6
2023-10, 용호2동 ,8121,19514,9452,10062,16469,7906,8563,4304,1945,2359,23,185,2,8
2023-10, 용호3동 ,5569,11381,5492,5889,10487,5031,5456,3683,1587,2096,21,135,2,7
2023-10, 용호4동 ,3672,7787,3711,4076,6999,3312,3687,2173,910,1263,14,90,2,6
2023-10, 용 당 동 ,3487,7890,3990,3900,6958,3507,3451,1898,867,1031,14,84,4,14
2023-10, 감만1동 ,4190,9070,4641,4429,8124,4151,3973,2473,1129,1344,26,181,3,10
2023-10, 감만2동 ,3327,6552,3214,3338,6041,2946,3095,2265,931,1334,14,85,1,3
2023-10, 우암동 ,5751,12346,6042,6304,11264,5457,5807,4022,1737,2285,29,219,1,5
2023-10, 문현1동 ,4857,11088,5454,5634,9862,4785,5077,2830,1204,1626,19,129,1,3
2023-10, 문현2동 ,4875,7905,3942,3963,7376,3657,3719,2119,899,1220,15,97,1,2
2023-10, 문현3동 ,7056,16440,7978,8462,14252,6868,7384,3552,1505,2047,23,155,1,3
2023-10, 문현4동 ,4369,8932,4327,4605,8201,3947,4254,2478,1038,1440,17,126,1,3
2023-11, 대연1동 ,9292,15384,7798,7586,14488,7358,7130,3744,1601,2143,31,175,1,4
2023-11, 대연3동 ,16595,33021,16177,16844,28175,13643,14532,4600,2001,2599,33,302,4,14
2023-11, 대연4동 ,6010,13211,6409,6802,11352,5468,5884,3271,1379,1892,20,156,1,4
2023-11, 대연5동 ,8451,16643,7963,8680,14821,6994,7827,3723,1597,2126,18,112,1,4
2023-11, 대연6동 ,5848,14778,7097,7681,11952,5679,6273,2538,1113,1425,16,108,1,4
2023-11, 용호1동 ,17138,42917,20539,22378,36309,17204,19105,9069,3960,5109,43,361,2,6
2023-11, 용호2동 ,8138,19526,9450,10076,16487,7909,8578,4310,1950,2360,23,185,2,8
